system:index,Wetland,annual_total_precipitation,subwetland,year,.geo
00000000000000000044_14,Banrock Station Wetland Complex,267.7684334733907,Banrock Station Wetland,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_15,Banrock Station Wetland Complex,194.5176877036983,Banrock Station Wetland,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_16,Banrock Station Wetland Complex,272.92378612756727,Banrock Station Wetland,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_17,Banrock Station Wetland Complex,216.8144407049114,Banrock Station Wetland,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_18,Banrock Station Wetland Complex,288.43224801760095,Banrock Station Wetland,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_19,Banrock Station Wetland Complex,238.4821942747808,Banrock Station Wetland,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_20,Banrock Station Wetland Complex,188.73515812146897,Banrock Station Wetland,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_21,Banrock Station Wetland Complex,211.74069102581808,Banrock Station Wetland,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_22,Banrock Station Wetland Complex,209.3655408165034,Banrock Station Wetland,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_23,Banrock Station Wetland Complex,266.4063438915739,Banrock Station Wetland,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_24,Banrock Station Wetland Complex,215.60060523701648,Banrock Station Wetland,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_25,Banrock Station Wetland Complex,207.42675829436266,Banrock Station Wetland,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_26,Banrock Station Wetland Complex,215.6443341396603,Banrock Station Wetland,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_27,Banrock Station Wetland Complex,221.70356138886189,Banrock Station Wetland,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_28,Banrock Station Wetland Complex,312.5752741128791,Banrock Station Wetland,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_29,Banrock Station Wetland Complex,320.2802284514203,Banrock Station Wetland,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_30,Banrock Station Wetland Complex,283.2293491045634,Banrock Station Wetland,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_31,Banrock Station Wetland Complex,221.99755762908973,Banrock Station Wetland,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_32,Banrock Station Wetland Complex,221.63149362779131,Banrock Station Wetland,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_33,Banrock Station Wetland Complex,200.09978296102264,Banrock Station Wetland,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_34,Banrock Station Wetland Complex,253.03532478634048,Banrock Station Wetland,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_35,Banrock Station Wetland Complex,220.04274690852446,Banrock Station Wetland,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_36,Banrock Station Wetland Complex,192.99860806757331,Banrock Station Wetland,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_37,Banrock Station Wetland Complex,191.38048925294598,Banrock Station Wetland,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_38,Banrock Station Wetland Complex,221.26972366045504,Banrock Station Wetland,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_39,Banrock Station Wetland Complex,209.0951002602484,Banrock Station Wetland,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_40,Banrock Station Wetland Complex,272.93715767720164,Banrock Station Wetland,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_41,Banrock Station Wetland Complex,310.7147050210074,Banrock Station Wetland,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_42,Banrock Station Wetland Complex,199.23009105406555,Banrock Station Wetland,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_43,Banrock Station Wetland Complex,185.33950396530767,Banrock Station Wetland,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,Barmah-Millewa,218.63229315327666,Reedbed Swamps,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_1,Barmah-Millewa,334.04001757303877,Reedbed Swamps,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_2,Barmah-Millewa,328.062823565801,Reedbed Swamps,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_3,Barmah-Millewa,254.84445431022087,Reedbed Swamps,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_4,Barmah-Millewa,343.2346623965338,Reedbed Swamps,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_5,Barmah-Millewa,315.52804015197006,Reedbed Swamps,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_6,Barmah-Millewa,328.7685032942716,Reedbed Swamps,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_7,Barmah-Millewa,433.2714946821624,Reedbed Swamps,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_8,Barmah-Millewa,320.6561064472386,Reedbed Swamps,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_9,Barmah-Millewa,283.755018102889,Reedbed Swamps,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_10,Barmah-Millewa,283.4892070896485,Reedbed Swamps,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_11,Barmah-Millewa,423.71460034636885,Reedbed Swamps,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_12,Barmah-Millewa,322.1281912593281,Reedbed Swamps,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_13,Barmah-Millewa,306.2439344452877,Reedbed Swamps,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_14,Barmah-Millewa,331.5245394241576,Reedbed Swamps,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_15,Barmah-Millewa,260.70962312852635,Reedbed Swamps,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_16,Barmah-Millewa,272.8612885201679,Reedbed Swamps,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_17,Barmah-Millewa,326.87485995339415,Reedbed Swamps,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_18,Barmah-Millewa,316.5812465892119,Reedbed Swamps,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_19,Barmah-Millewa,321.5089153500165,Reedbed Swamps,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_20,Barmah-Millewa,234.8897355694397,Reedbed Swamps,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_21,Barmah-Millewa,280.2347647580446,Reedbed Swamps,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_22,Barmah-Millewa,302.090990160727,Reedbed Swamps,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_23,Barmah-Millewa,350.82172147970573,Reedbed Swamps,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_24,Barmah-Millewa,253.29134235732695,Reedbed Swamps,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_25,Barmah-Millewa,237.06910606201959,Reedbed Swamps,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_26,Barmah-Millewa,276.5437987804413,Reedbed Swamps,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_27,Barmah-Millewa,299.6531223238683,Reedbed Swamps,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_28,Barmah-Millewa,415.9302019916329,Reedbed Swamps,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_29,Barmah-Millewa,466.7079651124337,Reedbed Swamps,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_30,Barmah-Millewa,342.43754121649494,Reedbed Swamps,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_31,Barmah-Millewa,298.3677127894233,Reedbed Swamps,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_32,Barmah-Millewa,349.3039540655473,Reedbed Swamps,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_33,Barmah-Millewa,269.39406406552183,Reedbed Swamps,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_34,Barmah-Millewa,393.5278820014467,Reedbed Swamps,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_35,Barmah-Millewa,303.01548652508677,Reedbed Swamps,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_36,Barmah-Millewa,269.78132560276515,Reedbed Swamps,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_37,Barmah-Millewa,288.09041539290376,Reedbed Swamps,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_38,Barmah-Millewa,348.46837532590416,Reedbed Swamps,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_39,Barmah-Millewa,321.8989514502825,Reedbed Swamps,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_40,Barmah-Millewa,388.7661774773224,Reedbed Swamps,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_41,Barmah-Millewa,417.57450508744114,Reedbed Swamps,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_42,Barmah-Millewa,400.24719436893275,Reedbed Swamps,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_43,Barmah-Millewa,281.8806564625572,Reedbed Swamps,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,Barmah-Millewa,51.28205280420827,Barmah Lake,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_1,Barmah-Millewa,78.30586823388643,Barmah Lake,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_2,Barmah-Millewa,76.06955969029784,Barmah Lake,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_3,Barmah-Millewa,60.680940516556014,Barmah Lake,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_4,Barmah-Millewa,79.25601547138365,Barmah Lake,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_5,Barmah-Millewa,71.90497205701529,Barmah Lake,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_6,Barmah-Millewa,75.09431404412962,Barmah Lake,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_7,Barmah-Millewa,96.60541753301435,Barmah Lake,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_8,Barmah-Millewa,74.49375087840885,Barmah Lake,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_9,Barmah-Millewa,65.48088987972223,Barmah Lake,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_10,Barmah-Millewa,70.70199443055134,Barmah Lake,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_11,Barmah-Millewa,104.48722729636174,Barmah Lake,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_12,Barmah-Millewa,70.61728121953851,Barmah Lake,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_13,Barmah-Millewa,70.849465192533,Barmah Lake,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_14,Barmah-Millewa,73.97372332717859,Barmah Lake,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_15,Barmah-Millewa,58.87830557612813,Barmah Lake,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_16,Barmah-Millewa,64.4465049308889,Barmah Lake,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_17,Barmah-Millewa,74.6947399003833,Barmah Lake,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_18,Barmah-Millewa,74.18792260347628,Barmah Lake,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_19,Barmah-Millewa,74.214114456317,Barmah Lake,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_20,Barmah-Millewa,53.07378081176795,Barmah Lake,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_21,Barmah-Millewa,63.43731388554854,Barmah Lake,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_22,Barmah-Millewa,69.65795789559682,Barmah Lake,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_23,Barmah-Millewa,83.255526908005,Barmah Lake,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_24,Barmah-Millewa,56.34801433086396,Barmah Lake,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_25,Barmah-Millewa,52.25294412257625,Barmah Lake,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_26,Barmah-Millewa,62.750909049136965,Barmah Lake,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_27,Barmah-Millewa,68.95283400334564,Barmah Lake,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_28,Barmah-Millewa,96.00815453926722,Barmah Lake,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_29,Barmah-Millewa,109.95198521240086,Barmah Lake,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_30,Barmah-Millewa,81.10459780482685,Barmah Lake,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_31,Barmah-Millewa,73.29396823200526,Barmah Lake,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_32,Barmah-Millewa,83.12289111988218,Barmah Lake,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_33,Barmah-Millewa,63.46331530435413,Barmah Lake,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_34,Barmah-Millewa,90.86682109599022,Barmah Lake,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_35,Barmah-Millewa,71.03127865417332,Barmah Lake,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_36,Barmah-Millewa,62.57395619574716,Barmah Lake,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_37,Barmah-Millewa,65.00170712237265,Barmah Lake,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_38,Barmah-Millewa,78.82903958605785,Barmah Lake,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_39,Barmah-Millewa,73.80014720360438,Barmah Lake,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_40,Barmah-Millewa,90.64610807451548,Barmah Lake,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_41,Barmah-Millewa,96.21508895135393,Barmah Lake,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_42,Barmah-Millewa,92.10087276556914,Barmah Lake,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_43,Barmah-Millewa,65.1087488101978,Barmah Lake,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,Barmah-Millewa,154.03297383084018,Moira Lake,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_1,Barmah-Millewa,244.05846108034547,Moira Lake,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_2,Barmah-Millewa,232.04714090660508,Moira Lake,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_3,Barmah-Millewa,181.3283886149818,Moira Lake,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_4,Barmah-Millewa,243.101511574259,Moira Lake,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_5,Barmah-Millewa,212.41287904627183,Moira Lake,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_6,Barmah-Millewa,234.7310827933106,Moira Lake,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_7,Barmah-Millewa,289.11036215459603,Moira Lake,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_8,Barmah-Millewa,230.51502185101606,Moira Lake,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_9,Barmah-Millewa,207.94747740754894,Moira Lake,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_10,Barmah-Millewa,214.9045390982254,Moira Lake,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_11,Barmah-Millewa,317.79541901046156,Moira Lake,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_12,Barmah-Millewa,231.15827900662143,Moira Lake,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_13,Barmah-Millewa,215.61488029255588,Moira Lake,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_14,Barmah-Millewa,220.5652440594692,Moira Lake,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_15,Barmah-Millewa,179.0661471792296,Moira Lake,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_16,Barmah-Millewa,193.4588756950463,Moira Lake,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_17,Barmah-Millewa,232.93158435470917,Moira Lake,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_18,Barmah-Millewa,230.13397278388342,Moira Lake,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_19,Barmah-Millewa,220.10713803394168,Moira Lake,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_20,Barmah-Millewa,167.17044850681341,Moira Lake,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_21,Barmah-Millewa,190.5850898240127,Moira Lake,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_22,Barmah-Millewa,213.27923169837283,Moira Lake,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_23,Barmah-Millewa,249.50908152940227,Moira Lake,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_24,Barmah-Millewa,171.65383267636395,Moira Lake,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_25,Barmah-Millewa,164.9159066347515,Moira Lake,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_26,Barmah-Millewa,194.44362055367117,Moira Lake,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_27,Barmah-Millewa,209.18702668489198,Moira Lake,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_28,Barmah-Millewa,297.2597096821841,Moira Lake,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_29,Barmah-Millewa,334.8876929699206,Moira Lake,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_30,Barmah-Millewa,244.76933292875103,Moira Lake,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_31,Barmah-Millewa,217.71362486282985,Moira Lake,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_32,Barmah-Millewa,254.67790987047496,Moira Lake,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_33,Barmah-Millewa,193.90564772288008,Moira Lake,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_34,Barmah-Millewa,279.60871971354766,Moira Lake,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_35,Barmah-Millewa,221.72623617251713,Moira Lake,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_36,Barmah-Millewa,196.43801167011262,Moira Lake,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_37,Barmah-Millewa,203.99635393502666,Moira Lake,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_38,Barmah-Millewa,246.65320706250623,Moira Lake,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_39,Barmah-Millewa,230.22285079254823,Moira Lake,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_40,Barmah-Millewa,280.1586426050055,Moira Lake,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_41,Barmah-Millewa,299.1080434446242,Moira Lake,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_42,Barmah-Millewa,288.4897563761356,Moira Lake,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_43,Barmah-Millewa,200.42628287193824,Moira Lake,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,Barmah-Millewa,8602.279988639726,,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_1,Barmah-Millewa,13353.322764272081,,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_2,Barmah-Millewa,13072.12445285554,,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_3,Barmah-Millewa,10472.414308964971,,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_4,Barmah-Millewa,13672.949870498507,,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_5,Barmah-Millewa,12687.581119575923,,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_6,Barmah-Millewa,13370.911370709133,,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_7,Barmah-Millewa,17684.709815822163,,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_8,Barmah-Millewa,13118.938112712838,,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_9,Barmah-Millewa,11609.591054003851,,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_10,Barmah-Millewa,11546.669224827081,,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_11,Barmah-Millewa,17929.73221564503,,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_12,Barmah-Millewa,12956.157872167052,,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_13,Barmah-Millewa,12705.02100684269,,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_14,Barmah-Millewa,13920.65747019216,,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_15,Barmah-Millewa,10673.14443608172,,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_16,Barmah-Millewa,10819.346469996262,,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_17,Barmah-Millewa,12950.775692740142,,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_18,Barmah-Millewa,13182.439810026042,,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_19,Barmah-Millewa,12825.991209511656,,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_20,Barmah-Millewa,9632.927236925621,,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_21,Barmah-Millewa,11227.313822605565,,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_22,Barmah-Millewa,12524.43915696004,,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_23,Barmah-Millewa,14299.590436378645,,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
